75,108,45
109,67,95
67,109,108
109,95,148
133,28,29
117,137,140
77,111,21
112,69,97
69,112,111
112,97,160
135,16,17
121,161,164
79,114,9
115,71,99
71,115,114
115,99,172
60,116,65
92,116,56
141,137,88
132,259,110
61,118,67
94,118,57
153,149,89
128,257,104
62,120,69
96,120,58
165,161,90
134,260,113
63,122,71
98,122,59
177,173,91
130,258,107
224,128,200
104,265,155
231,130,217
107,271,179
219,132,191
110,262,143
229,134,209
113,268,167
199,128,104
128,199,200
264,129,41
265,119,152
216,130,107
130,216,217
270,131,5
271,123,176
190,132,110
132,190,191
261,133,29
262,117,140
208,134,113
134,208,209
267,135,17
268,121,164
137,93,88
138,136,117
141,140,137
117,136,137
117,133,261
31,138,30
88,142,141
110,143,145
143,140,139
133,262,110
92,184,88
139,140,141
156,196,195
147,144,146
143,139,146
146,145,143
263,146,139
68,185,186
185,145,144
126,191,190
139,141,263
145,146,144
184,220,142
204,168,205
149,95,89
150,148,119
153,152,149
119,148,149
119,129,264
43,150,42
89,154,153
104,155,157
155,152,151
129,265,104
94,193,89
151,152,153
213,212,180
159,156,158
155,151,158
158,157,155
266,158,151
64,194,195
194,157,156
124,200,199
151,153,266
157,158,156
154,193,225
197,195,198
161,97,90
162,160,121
165,164,161
121,160,161
121,135,267
19,162,18
90,166,165
113,167,169
167,164,163
135,268,113
96,202,90
163,164,165
189,273,188
171,168,170
167,163,170
170,169,167
269,170,163
70,203,204
203,169,168
127,209,208
163,165,269
169,170,168
82,188,273
238,205,171
173,99,91
174,172,123
177,176,173
123,172,173
123,131,270
7,174,6
91,178,177
107,179,181
179,176,175
131,271,107
98,210,91
175,176,177
275,206,207
183,180,182
179,175,182
182,181,179
272,182,175
66,211,212
211,181,180
125,217,216
175,177,272
181,182,180
206,275,83
214,212,215
220,184,80
88,184,142
186,185,144
185,68,255
187,144,147
186,187,189
221,142,220
189,188,186
86,188,82
68,186,188
187,147,235
166,82,273
110,145,190
126,190,145
126,102,191
102,25,219
225,226,154
222,235,221
225,193,81
89,193,154
195,194,156
194,64,253
156,159,196
195,196,198
227,237,226
198,80,197
84,197,80
64,195,197
274,196,223
274,220,198
104,157,199
124,199,157
124,100,200
100,37,224
250,178,228
243,274,223
82,166,202
90,202,166
204,203,168
203,70,256
205,168,171
204,205,207
239,232,238
207,206,204
87,206,83
70,204,206
239,241,234
178,83,275
113,169,208
127,208,169
127,103,209
103,13,229
83,178,210
91,210,178
212,211,180
211,66,254
180,183,213
212,213,215
250,248,249
215,81,214
85,214,81
66,212,214
276,213,230
276,225,215
107,181,216
125,216,181
125,101,217
101,1,231
233,189,187
189,233,241
132,219,26
102,219,191
198,220,80
221,220,192
221,192,222
221,147,263
223,246,243
252,244,245
237,196,159
227,246,223
128,224,38
100,224,200
215,225,81
226,225,201
227,226,201
226,159,266
276,230,247
223,196,237
238,240,205
247,230,245
134,229,14
103,229,209
183,250,249
252,248,251
130,231,2
101,231,217
222,242,234
240,207,205
235,233,187
233,222,234
236,242,243
234,232,239
221,235,147
233,235,222
245,236,247
242,244,234
226,237,159
223,237,227
239,238,171
238,232,240
239,171,269
218,241,239
234,244,232
275,240,228
241,218,273
233,234,241
243,242,222
242,236,244
222,192,243
243,192,274
245,244,236
232,244,252
236,246,247
248,245,230
246,227,247
243,246,236
227,201,247
247,201,276
248,230,249
248,250,251
230,213,249
183,249,213
250,183,272
251,250,228
228,240,251
240,232,252
248,252,245
240,252,251
48,124,253
253,124,194
49,125,254
254,125,211
50,126,255
255,126,185
51,127,256
256,127,203
128,39,257
40,257,39
130,3,258
4,258,3
132,27,259
28,259,27
134,15,260
16,260,15
30,261,29
117,261,138
117,262,133
143,262,140
221,263,142
146,263,147
42,264,41
119,264,150
119,265,129
155,265,152
226,266,154
158,266,159
18,267,17
121,267,162
121,268,135
167,268,164
239,269,166
170,269,171
6,270,5
123,270,174
123,271,131
179,271,176
250,272,178
182,272,183
241,273,189
166,273,218
220,274,192
196,274,198
240,275,207
178,275,228
225,276,201
213,276,215
